Treatment.Description,Inoculant,Genotype,N.dosages,V8.Plant.Biomass,V8.Plant.N.Concentration,V8.Plant.N.Content,VT.Plant.Moisture,VT.Plant.Biomass,VT.Plant.Biomass_kg,VT.Plant.N.Concentration,VT.Plant.N.Content_lb,VT.Plant.N.Content_kg,VT.Plant.N.Content_mg,Grain.Oil,Grain.Protein,Grain.N.concentration,Grain.Starch,Kernel.Weight..kg.kernel.,Kernel.Weight.mg.kernel.,NUE,Rep
Inbred: BNI NIL 1 N: 30 IF: None,None,NIL 1,N:34,1476.04,2.89,42.72,0.849,4235.43,4747.281716,1.43,60.51,67.83171,67831.71,3.58,8.7,54.375,71,0.18848,188.48,3.598881048,1
Inbred: BNI NIL 2 N: 30 IF: None,None,NIL 2,N:34,1594.65,2.76,44.02,0.82,6122.81,6862.751589,1.37,83.85,93.99585,93995.85,3.46,8.9,55.625,72.1,0.19216,192.16,4.891540903,2
Inbred: BNI NIL 1 N: 30 IF: Proven,Proven,NIL 1,N:34,1168.97,2.76,32.27,0.847,4059.68,4550.292328,1.38,56.1,62.8881,62888.1,3.31,10.2,63.75,70.7,0.17907,179.07,3.511928296,3
Inbred: BNI NIL 2 N: 30 IF: Proven,Proven,NIL 2,N:34,1151.84,2.42,27.93,0.853,4542.55,5091.517168,1.59,72.33,81.08193,81081.93,3.51,8.7,54.375,72.4,0.19704,197.04,4.114998477,4
Inbred: B73 N: 0 IF: None,None,B73,N:0,1190.06,2.43,28.97,0.829,5483.44,6146.113724,1.07,58.79,65.90359,65903.59,3.44,6.8,42.5,73.5,0.18655,186.55,3.532757438,5
Inbred: BNI NIL 1 N: 0 IF: None,None,NIL 1,N:0,1321.85,2,26.42,0.837,4713.07,5282.64451,1.02,48.25,54.08825,54088.25,3.29,8.9,55.625,72.3,0.18702,187.02,2.892110469,6
Inbred: BNI NIL 2 N: 0 IF: None,None,NIL 2,N:0,1457.59,2.55,37.21,0.824,5324.98,5968.503833,1.14,60.76,68.11196,68111.96,3.77,6.6,41.25,72.3,0.18311,183.11,3.719729125,1
Inbred: BNI NIL 1 N: 0 IF: Proven,Proven,NIL 1,N:0,1304.72,2.57,33.55,0.843,4361.6,4888.69936,1.19,52.08,58.38168,58381.68,3.68,6.5,40.625,71.9,0.16879,168.79,3.458835239,2
Inbred: B73 N: 0 IF: Proven,Proven,B73,N:0,1133.39,2.22,25.17,0.825,4936.26,5532.807021,1.47,72.34,81.09314,81093.14,3.48,7.1,44.375,72.4,0.1897,189.7,4.2748097,3
Inbred: BNI NIL 2 N: 0 IF: Proven,Proven,NIL 2,N:0,1445.73,2.55,36.84,0.819,5228.74,5860.633229,1.24,64.99,72.85379,72853.79,3.49,7,43.75,72.3,0.18553,185.53,3.926792971,4
Inbred: BNI NIL 2 N: 60 IF: None,None,NIL 2,N:67,1378.52,2.7,37.26,0.833,4942.18,5539.442453,1.56,77.28,86.63088,86630.88,3.88,8.7,54.375,70,0.19185,191.85,4.515552776,5
Inbred: B73 N: 60 IF: Proven,Proven,B73,N:67,1269.13,2.64,33.56,0.85,4088.84,4582.976314,1.65,67.5,75.6675,75667.5,3.32,8.3,51.875,70.9,0.19252,192.52,3.930370871,6
Inbred: BNI NIL 1 N: 60 IF: None,None,NIL 1,N:67,1487.9,2.35,35.02,0.849,4299.34,4818.915239,1.64,70.38,78.89598,78895.98,2.99,8,50,71.8,0.17073,170.73,4.621096468,1
Inbred: BNI NIL 1 N: 60 IF: Proven,Proven,NIL 1,N:67,1166.34,2.39,27.83,0.837,4629.51,5188.986284,1.45,66.95,75.05095,75050.95,3.4,8.8,55,72,0.18293,182.93,4.102714153,2
Inbred: B73 N: 60 IF: None,None,B73,N:67,1139.98,2.62,29.84,0.854,3760.06,4214.463251,1.51,56.82,63.69522,63695.22,3.72,8.3,51.875,70.6,0.19398,193.98,3.283597278,3
Inbred: BNI NIL 2 N: 60 IF: Proven,Proven,NIL 2,N:67,1581.47,2.61,41.35,0.825,4956.2,5555.15677,1.21,60.04,67.30484,67304.84,3.58,8.2,51.25,71.6,0.1979,197.9,3.400951996,4
